"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"64"	"64"	"1"	"1"	"1"	"7.18449250566579"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"MYO9B|4650"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"65"	"65"	"1"	"1"	"1"	"6.99796707248846"	"C1orf43|25912"	"CASKIN2|57513"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SGPL1|8879"	"SIDT2|51092"	"TMPRSS4|56649"
"66"	"66"	"1"	"1"	"1"	"7.4710723540043"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RNF149|284996"	"RNH1|6050"	"RTKN2|219790"
"67"	"67"	"1"	"1"	"1"	"7.48218953063774"	"CARD11|84433"	"DOPEY2|9980"	"MYO1C|4641"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SMG6|23293"
"68"	"68"	"1"	"1"	"1"	"7.05745865375065"	"ETV4|2118"	"FOLR2|2350"	"MME|4311"	"MMP11|4320"	"MYL9|10398"	"PNPLA6|10908"	"RTKN2|219790"	"TOP2A|7153"
"69"	"69"	"1"	"1"	"1"	"7.15223446449716"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"70"	"70"	"0.988888888888889"	"1"	"0.909090909090909"	"7.19820314801224"	"FKBP9|11328"	"HYAL2|8692"	"MACROD2|140733"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TTYH3|80727"
"71"	"71"	"1"	"1"	"1"	"8.15312192780753"	"COL12A1|1303"	"FERMT1|55612"	"HS6ST2|90161"	"MMP11|4320"	"RTKN2|219790"	"SPATS2|65244"	"TOP2A|7153"	"TUBA1B|10376"
"72"	"72"	"1"	"1"	"1"	"7.59794843651786"	"ADAM8|101"	"CASKIN2|57513"	"COL17A1|1308"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"7.88728980061834"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"PNPLA6|10908"	"PRKCB|5579"	"PYCR1|5831"	"RTKN2|219790"	"SPTBN2|6712"
"74"	"74"	"0.988888888888889"	"1"	"0.909090909090909"	"8.86115522549121"	"ABCC3|8714"	"CASKIN2|57513"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SC4MOL|6307"	"TMPRSS4|56649"	"TOP2A|7153"
"75"	"75"	"1"	"1"	"1"	"7.62235937944884"	"DOPEY2|9980"	"FERMT1|55612"	"JAK3|3718"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"76"	"76"	"1"	"1"	"1"	"7.89570325719307"	"CYP51A1|1595"	"ETV4|2118"	"FERMT1|55612"	"FUT8|2530"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"8.02262233863347"	"ARL4A|10124"	"C7|730"	"COL10A1|1300"	"CYP24A1|1591"	"DGKA|1606"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"
"78"	"78"	"0.988888888888889"	"0.987341772151899"	"1"	"7.14948580043111"	"COL17A1|1308"	"MS4A6A|64231"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SYNJ2|8871"	"ZNF692|55657"
"79"	"79"	"0.977777777777778"	"0.974683544303797"	"1"	"8.13506310426414"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"LGR4|55366"	"LTF|4057"	"RAMP3|10268"	"RTKN2|219790"	"TOP2A|7153"
"80"	"80"	"1"	"1"	"1"	"7.10897345659899"	"ANKRD22|118932"	"C2CD2|25966"	"E2F3|1871"	"FERMT1|55612"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"81"	"81"	"1"	"1"	"1"	"7.58219687437676"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"FUT2|2524"	"HS6ST2|90161"	"KNTC1|9735"	"RTKN2|219790"	"TOP2A|7153"
"82"	"82"	"0.988888888888889"	"0.987341772151899"	"1"	"8.20916358913875"	"C13orf15|28984"	"CA9|768"	"COL10A1|1300"	"COL12A1|1303"	"PYCR1|5831"	"RRP1B|23076"	"SC4MOL|6307"	"SLC19A1|6573"
"83"	"83"	"1"	"1"	"1"	"8.20343942263402"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"NPL|80896"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"84"	"84"	"1"	"1"	"1"	"7.38866128261396"	"CASKIN2|57513"	"COL17A1|1308"	"GGT5|2687"	"ILK|3611"	"LGR4|55366"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"85"	"85"	"0.988888888888889"	"0.987341772151899"	"1"	"8.03575115793466"	"C9orf140|89958"	"COL10A1|1300"	"MYL9|10398"	"NFYB|4801"	"NPL|80896"	"PNPLA6|10908"	"RTKN2|219790"	"SBDS|51119"
"86"	"86"	"1"	"1"	"1"	"7.26169085346274"	"CA9|768"	"CCL19|6363"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"87"	"87"	"0.988888888888889"	"1"	"0.909090909090909"	"8.15841771535198"	"ABCC3|8714"	"DGKA|1606"	"EPAS1|2034"	"IDE|3416"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"WFS1|7466"
"88"	"88"	"1"	"1"	"1"	"7.85121592204456"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SQLE|6713"
"89"	"89"	"0.988888888888889"	"1"	"0.909090909090909"	"7.64957615914565"	"ANKRD22|118932"	"CAT|847"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"90"	"90"	"1"	"1"	"1"	"7.51352539956254"	"COL17A1|1308"	"COMT|1312"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"RALGPS2|55103"	"SLC19A1|6573"	"ST6GALNAC5|81849"
"91"	"91"	"1"	"1"	"1"	"7.1754846023792"	"DOPEY2|9980"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"92"	"92"	"1"	"1"	"1"	"8.45563198167907"	"CAT|847"	"DOPEY2|9980"	"FERMT1|55612"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"93"	"93"	"1"	"1"	"1"	"7.65812547882084"	"AHDC1|27245"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"HYAL2|8692"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"
"94"	"94"	"0.988888888888889"	"0.987341772151899"	"1"	"8.87212025835562"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"JAK3|3718"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"95"	"95"	"1"	"1"	"1"	"7.66772518920507"	"ABCC3|8714"	"ARL4A|10124"	"CASKIN2|57513"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"STARD3NL|83930"	"TTYH3|80727"
"96"	"96"	"1"	"1"	"1"	"7.42607125014741"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"97"	"97"	"1"	"1"	"1"	"7.03809994408435"	"CYP51A1|1595"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"98"	"98"	"1"	"1"	"1"	"7.47669776814802"	"CASKIN2|57513"	"COL10A1|1300"	"COL17A1|1308"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"99"	"99"	"0.988888888888889"	"1"	"0.909090909090909"	"7.18716119456437"	"ANKRD22|118932"	"FAM83A|84985"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"100"	"100"	"1"	"1"	"1"	"7.63932220519402"	"CYP51A1|1595"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"101"	"101"	"0.988888888888889"	"0.987341772151899"	"1"	"7.79689748195356"	"ANKRD22|118932"	"CAT|847"	"CENPB|1059"	"FERMT1|55612"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"102"	"102"	"1"	"1"	"1"	"7.52223179331495"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"NPL|80896"	"RNF149|284996"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"103"	"103"	"1"	"1"	"1"	"8.29285083095566"	"ADAM8|101"	"ALOX5AP|241"	"C13orf1|57213"	"CASKIN2|57513"	"COL10A1|1300"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"104"	"104"	"1"	"1"	"1"	"7.21949169217643"	"COL10A1|1300"	"EPB41L5|57669"	"LTF|4057"	"MYL9|10398"	"PECAM1|5175"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"105"	"105"	"0.988888888888889"	"0.987341772151899"	"1"	"7.27393298088603"	"ANKRD22|118932"	"LPCAT4|254531"	"PNPLA6|10908"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SBDSP1|155370"	"SYNJ2|8871"
