"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"
"66"	"66"	"0.977777777777778"	"0.974683544303797"	"1"	"6.04673649148905"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"67"	"67"	"1"	"1"	"1"	"4.92796212301963"	"DGKA|1606"	"KANK3|256949"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"68"	"68"	"0.977777777777778"	"0.974683544303797"	"1"	"6.21821827336067"	"ADAM8|101"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"69"	"69"	"0.966666666666667"	"0.962025316455696"	"1"	"6.29652224535399"	"CAT|847"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"70"	"70"	"0.977777777777778"	"0.974683544303797"	"1"	"5.99059101877353"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"71"	"71"	"1"	"1"	"1"	"5.33622755251018"	"B3GNT3|10331"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC4A7|9497"
"72"	"72"	"0.977777777777778"	"0.974683544303797"	"1"	"5.63180853683749"	"HYAL2|8692"	"KCNN4|3783"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"5.47598440920558"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"74"	"74"	"1"	"1"	"1"	"6.08186435841943"	"EPAS1|2034"	"LAMA2|3908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"75"	"75"	"1"	"1"	"1"	"5.40089337447558"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"76"	"76"	"1"	"1"	"1"	"5.44366978850958"	"EPAS1|2034"	"FERMT1|55612"	"KIF26B|55083"	"LGR4|55366"	"PYCR1|5831"
"77"	"77"	"1"	"1"	"1"	"5.43883610054951"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"TEP1|7011"
"78"	"78"	"1"	"1"	"1"	"5.70340271864687"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"79"	"79"	"1"	"1"	"1"	"5.92607775425035"	"FERMT1|55612"	"PHF6|84295"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"80"	"80"	"0.988888888888889"	"0.987341772151899"	"1"	"6.28599164153197"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"RTKN2|219790"	"TOP2A|7153"
"81"	"81"	"0.988888888888889"	"0.987341772151899"	"1"	"5.97986733946246"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"82"	"82"	"0.966666666666667"	"0.962025316455696"	"1"	"6.19366974890737"	"CLEC2D|29121"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"83"	"83"	"1"	"1"	"1"	"5.24165703123155"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"84"	"84"	"1"	"1"	"1"	"5.20782568826426"	"CCL19|6363"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"85"	"85"	"1"	"1"	"1"	"5.78458299007125"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TMPRSS4|56649"
"86"	"86"	"1"	"1"	"1"	"5.44753692508004"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TTYH3|80727"
"87"	"87"	"1"	"1"	"1"	"6.0401593128255"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"88"	"88"	"0.988888888888889"	"0.987341772151899"	"1"	"5.18965035152834"	"NPL|80896"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"89"	"89"	"0.977777777777778"	"0.974683544303797"	"1"	"5.96597719901851"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"TEP1|7011"
"90"	"90"	"1"	"1"	"1"	"5.32002055515112"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"91"	"91"	"0.988888888888889"	"0.987341772151899"	"1"	"5.20423714428375"	"ADAM8|101"	"C13orf15|28984"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"92"	"92"	"1"	"1"	"1"	"5.75463949753183"	"ABHD5|51099"	"C1orf198|84886"	"COL10A1|1300"	"MYL9|10398"	"PYCR1|5831"
"93"	"93"	"1"	"1"	"1"	"6.22922010926324"	"ARL4A|10124"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"
"94"	"94"	"1"	"1"	"1"	"5.95482998399293"	"C9orf140|89958"	"COL10A1|1300"	"MYL9|10398"	"PNPLA6|10908"	"RTKN2|219790"
"95"	"95"	"0.988888888888889"	"0.987341772151899"	"1"	"5.66463783736003"	"CENPF|1063"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"96"	"96"	"0.988888888888889"	"0.987341772151899"	"1"	"5.36133411444282"	"DHCR7|1717"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"97"	"97"	"1"	"1"	"1"	"5.65058197223828"	"ASPM|259266"	"COL12A1|1303"	"MMP11|4320"	"RTKN2|219790"	"TUBB6|84617"
"98"	"98"	"0.988888888888889"	"0.987341772151899"	"1"	"5.4113476191744"	"HYAL2|8692"	"KCNN4|3783"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"99"	"99"	"1"	"1"	"1"	"5.59130398904411"	"ANKRD22|118932"	"PYCR1|5831"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"100"	"100"	"1"	"1"	"1"	"5.4039923524336"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"101"	"101"	"0.977777777777778"	"0.974683544303797"	"1"	"6.27136594384966"	"FERMT1|55612"	"MAP3K1|4214"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"102"	"102"	"1"	"1"	"1"	"5.35928740306323"	"ANKRD22|118932"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"103"	"103"	"0.988888888888889"	"0.987341772151899"	"1"	"5.60403844044238"	"FERMT1|55612"	"MMP11|4320"	"RTKN2|219790"	"TOP2A|7153"	"TUBB6|84617"
"104"	"104"	"0.988888888888889"	"0.987341772151899"	"1"	"6.12118380782832"	"COL10A1|1300"	"CORO1C|23603"	"MYL9|10398"	"RTKN2|219790"	"TOP2A|7153"
"105"	"105"	"0.988888888888889"	"0.987341772151899"	"1"	"5.28897221239772"	"EPAS1|2034"	"FADS3|3995"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"106"	"106"	"1"	"1"	"1"	"5.36217838569391"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"107"	"107"	"0.988888888888889"	"0.987341772151899"	"1"	"6.33192536191013"	"PNPLA6|10908"	"PYCR1|5831"	"RAB6A|5870"	"RTKN2|219790"	"SYNJ2|8871"
