"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"48"	"48"	"0.966666666666667"	"0.962025316455696"	"1"	"3.23596180427855"	"CDCA7|83879"	"CEACAM6|4680"	"FOXM1|2305"	"GPRC5A|9052"	"LONP2|83752"	"LRRC36|55282"	"TTN|7273"	"ZNF692|55657"
"49"	"49"	"0.988888888888889"	"0.987341772151899"	"1"	"3.19777055768265"	"ACACB|32"	"EPCAM|4072"	"EXOC6|54536"	"GPIHBP1|338328"	"IFRD1|3475"	"PSAT1|29968"	"TEP1|7011"	"TTC7A|57217"
"50"	"50"	"0.955555555555556"	"0.949367088607595"	"1"	"3.44184224895239"	"C6orf174|387104"	"CXCR4|7852"	"FXR2|9513"	"GPIHBP1|338328"	"KDELR2|11014"	"PFAS|5198"	"TOM1L1|10040"	"UBE2O|63893"
"51"	"51"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"3.19418581514313"	"HMGN1|3150"	"ITGAM|3684"	"KRT6A|3853"	"NELF|26012"	"OSCAR|126014"	"SEPT10|151011"	"SLC35F5|80255"	"WDR8|49856"
"52"	"52"	"0.977777777777778"	"0.974683544303797"	"1"	"3.31343087495009"	"ALS2CL|259173"	"BMPR1A|657"	"BTNL9|153579"	"MEPCE|56257"	"SIX4|51804"	"TM9SF3|56889"	"TSPAN17|26262"	"ZNF692|55657"
"53"	"53"	"0.977777777777778"	"0.974683544303797"	"1"	"3.14702820498692"	"BTNL9|153579"	"CLK2|1196"	"EPS8|2059"	"GPRC5A|9052"	"OSCAR|126014"	"PSAT1|29968"	"PSD4|23550"	"RGS10|6001"
"54"	"54"	"0.955555555555556"	"0.949367088607595"	"1"	"3.26724497078105"	"CASP3|836"	"CP|1356"	"FAM125B|89853"	"GATA2|2624"	"GPIHBP1|338328"	"NELF|26012"	"PHF15|23338"	"SBK1|388228"
"55"	"55"	"1"	"1"	"1"	"3.17784896986088"	"CRLF1|9244"	"GATM|2628"	"KRT4|3851"	"LOC146880|146880"	"LONP2|83752"	"LRRC36|55282"	"PSAT1|29968"	"RUSC1|23623"
"56"	"56"	"1"	"1"	"1"	"3.06869416865862"	"CBLB|868"	"EPCAM|4072"	"GPIHBP1|338328"	"PSAT1|29968"	"RYBP|23429"	"TET2|54790"	"TTN|7273"	"ZNF639|51193"
"57"	"57"	"0.933333333333333"	"0.936708860759494"	"0.909090909090909"	"3.31493579418603"	"BTNL9|153579"	"CTSB|1508"	"EHBP1|23301"	"FGD6|55785"	"MTHFD1L|25902"	"OSCAR|126014"	"RYBP|23429"	"SEPT10|151011"
"58"	"58"	"0.988888888888889"	"0.987341772151899"	"1"	"3.38609742610184"	"CTSK|1513"	"DLG3|1741"	"HSP90AB1|3326"	"LRRC36|55282"	"RMND5A|64795"	"SLC35F5|80255"	"VEGFA|7422"	"ZNF692|55657"
"59"	"59"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"2.95413809751407"	"ACVR1|90"	"ARPC5|10092"	"CYTH1|9267"	"HN1|51155"	"SDHC|6391"	"SEPT10|151011"	"TEP1|7011"	"TMEM100|55273"
"60"	"60"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"3.35689400647643"	"FXR2|9513"	"KCNE4|23704"	"MYBBP1A|10514"	"RCAN1|1827"	"SHANK3|85358"	"SMU1|55234"	"SOS1|6654"	"TRAF4|9618"
"61"	"61"	"0.966666666666667"	"0.962025316455696"	"1"	"3.35240187726753"	"ATP1B1|481"	"B3GNT5|84002"	"CLIC5|53405"	"EIF2S2|8894"	"NCAPG|64151"	"NUDT9|53343"	"SIX4|51804"	"TMEM92|162461"
"62"	"62"	"0.955555555555556"	"0.949367088607595"	"1"	"3.36639284707309"	"BCL7B|9275"	"BTNL9|153579"	"C11orf75|56935"	"INTS7|25896"	"LIMK1|3984"	"MRPS25|64432"	"OSCAR|126014"	"TMEM51|55092"
"63"	"63"	"0.966666666666667"	"0.962025316455696"	"1"	"3.35693760120998"	"CASP3|836"	"CBLB|868"	"EPCAM|4072"	"FAM89A|375061"	"GPIHBP1|338328"	"PSAT1|29968"	"RAB6A|5870"	"ZNF639|51193"
"64"	"64"	"0.988888888888889"	"1"	"0.909090909090909"	"3.07379403873955"	"ACVR1B|91"	"CDK2|1017"	"GNL3|26354"	"GOLPH3L|55204"	"GPIHBP1|338328"	"MYBL2|4605"	"PVR|5817"	"SNX4|8723"
"65"	"65"	"0.966666666666667"	"0.962025316455696"	"1"	"3.24208498758278"	"CASP3|836"	"CEBPG|1054"	"DAP|1611"	"EPCAM|4072"	"GPIHBP1|338328"	"MLL4|9757"	"PSAT1|29968"	"TMEM120B|144404"
"66"	"66"	"0.977777777777778"	"0.974683544303797"	"1"	"3.29485017197541"	"ACVR1B|91"	"BTNL9|153579"	"DCBLD1|285761"	"EMP3|2014"	"FAM125B|89853"	"NFIL3|4783"	"PIM2|11040"	"RAB6A|5870"
"67"	"67"	"0.977777777777778"	"0.974683544303797"	"1"	"3.04093017336146"	"CRLF1|9244"	"EPCAM|4072"	"FAM174A|345757"	"GPIHBP1|338328"	"LEPR|3953"	"SEPT10|151011"	"SLC30A5|64924"	"TNS4|84951"
"68"	"68"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"3.1699544324512"	"CALM1|801"	"CASP3|836"	"FAM89A|375061"	"GATA2|2624"	"GGCT|79017"	"HM13|81502"	"PAM|5066"	"RNH1|6050"
"69"	"69"	"0.977777777777778"	"0.974683544303797"	"1"	"3.19287294795932"	"AZI2|64343"	"COX18|285521"	"GNL3|26354"	"HBA1|3039"	"SEPT10|151011"	"SLC35F5|80255"	"SUFU|51684"	"UBE2I|7329"
"70"	"70"	"0.988888888888889"	"0.987341772151899"	"1"	"3.7277266777207"	"BCL7B|9275"	"BTNL9|153579"	"CDC42BPA|8476"	"CTSB|1508"	"LIMK1|3984"	"MAP4|4134"	"MRPS25|64432"	"OSCAR|126014"
"71"	"71"	"1"	"1"	"1"	"3.43177386028903"	"AATK|9625"	"EBP|10682"	"GJB1|2705"	"LRRC36|55282"	"NCAPG|64151"	"TMEM159|57146"	"TRIM25|7706"	"ZNF692|55657"
"72"	"72"	"0.977777777777778"	"0.974683544303797"	"1"	"3.14492978190621"	"ANO6|196527"	"CDH1|999"	"CLIC5|53405"	"CRYAB|1410"	"HKDC1|80201"	"ITGA5|3678"	"LOX|4015"	"PSAT1|29968"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"3.33294427498363"	"ACSL1|2180"	"C16orf57|79650"	"C6orf174|387104"	"DCTD|1635"	"LRRC36|55282"	"S100PBP|64766"	"SEPT10|151011"	"SLC35F5|80255"
"74"	"74"	"0.966666666666667"	"0.962025316455696"	"1"	"3.3026830540232"	"C22orf39|128977"	"HM13|81502"	"ITGA5|3678"	"LOX|4015"	"LRRC36|55282"	"MMP14|4323"	"PYGO2|90780"	"RIN2|54453"
"75"	"75"	"0.966666666666667"	"0.962025316455696"	"1"	"3.26227096546887"	"EPCAM|4072"	"FAM89A|375061"	"GPIHBP1|338328"	"NUDT9|53343"	"PARD6B|84612"	"PGM1|5236"	"PTMS|5763"	"SERPINH1|871"
"76"	"76"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"3.2389667777083"	"CRYAB|1410"	"CTSB|1508"	"GCHFR|2644"	"GGCT|79017"	"OSCAR|126014"	"RUSC1|23623"	"RYBP|23429"	"SFRP4|6424"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"3.13238529891591"	"CCL18|6362"	"GPIHBP1|338328"	"KCNE4|23704"	"OSCAR|126014"	"POLM|27434"	"SEPT10|151011"	"SLC35F5|80255"	"TMEM51|55092"
"78"	"78"	"0.966666666666667"	"0.962025316455696"	"1"	"3.12794599600756"	"BAK1|578"	"CLIC5|53405"	"DBNDD1|79007"	"GCHFR|2644"	"PSAT1|29968"	"PVR|5817"	"RHOQ|23433"	"SRD5A3|79644"
"79"	"79"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"3.4219803895236"	"BTNL9|153579"	"CTSE|1510"	"OSCAR|126014"	"PSAT1|29968"	"RDH11|51109"	"SEPT10|151011"	"SLC35F5|80255"	"SNX4|8723"
"80"	"80"	"0.988888888888889"	"0.987341772151899"	"1"	"2.9612614485347"	"EIF2S2|8894"	"GPIHBP1|338328"	"HBA1|3039"	"HM13|81502"	"IARS2|55699"	"SEPT10|151011"	"STK38L|23012"	"TSPAN17|26262"
"81"	"81"	"0.977777777777778"	"0.974683544303797"	"1"	"3.09791956655849"	"BTNL9|153579"	"OSCAR|126014"	"PCIF1|63935"	"PGM1|5236"	"PPP6C|5537"	"SEPT10|151011"	"SURF4|6836"	"ZZZ3|26009"
