"Index"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"60"	"60"	"3.85105795025745"	"ATP1B3|483"	"BIRC5|332"	"PPM1D|8493"	"CLDN5|7122"	"HABP2|3026"	"HIST1H2BD|3017"	"CCDC92|80212"	"SNED1|25992"
"61"	"61"	"3.3004894995869"	"NECAB1|64168"	"PAICS|10606"	"LRIG3|121227"	"SASH1|23328"	"FBLIM1|54751"	"ANXA3|306"	"DHCR7|1717"	"IDH1|3417"
"62"	"62"	"3.44587141599062"	"SEMA6A|57556"	"SGCE|8910"	"CDC6|990"	"HAUS2|55142"	"GNB5|10681"	"ITPK1|3705"	"B3GALNT1|8706"	"LIMCH1|22998"
"63"	"63"	"3.61381425364549"	"HBA2|3040"	"GAB1|2549"	"ZNF217|7764"	"PAK1|5058"	"ACER3|55331"	"TJP2|9414"	"PTGES|9536"	"MAP3K2|10746"
"64"	"64"	"3.77909710415658"	"SLAMF8|56833"	"FGR|2268"	"GIMAP8|155038"	"TMEM63A|9725"	"PRKCB|5579"	"MYO19|80179"	"CHPF2|54480"	"TSPAN6|7105"
"65"	"65"	"3.47814264258501"	"TRPV2|51393"	"SLAMF7|57823"	"SLC39A11|201266"	"DAPK2|23604"	"SDCBP|6386"	"ACAD8|27034"	"MMP9|4318"	"TTLL12|23170"
"66"	"66"	"4.49647497975437"	"OLFML1|283298"	"PDGFRB|5159"	"NOTCH4|4855"	"MX2|4600"	"FANCI|55215"	"OASL|8638"	"CD2|914"	"DENND5A|23258"
"67"	"67"	"3.72280524457108"	"C14orf132|56967"	"SH3PXD2A|9644"	"MMRN2|79812"	"N4BP1|9683"	"MANEAL|149175"	"GPR56|9289"	"MAFF|23764"	"RASA3|22821"
"68"	"68"	"3.41234786219815"	"ARHGEF15|22899"	"SOX4|6659"	"GMPPA|29926"	"MAN2A1|4124"	"SERINC1|57515"	"COL14A1|7373"	"RNF122|79845"	"SEMA5A|9037"
"69"	"69"	"3.74614972155856"	"ADAMTSL4|54507"	"MICALL2|79778"	"GOLGA7B|401647"	"DUSP8|1850"	"XPO5|57510"	"KIAA0427|9811"	"COMP|1311"	"ENTPD4|9583"
"70"	"70"	"3.34129248296527"	"GRASP|160622"	"PLXNB3|5365"	"TRAP1|10131"	"LOC96610|96610"	"LEPRE1|64175"	"PKIG|11142"	"ZDHHC13|54503"	"PPP2R5B|5526"
"71"	"71"	"3.17913791606924"	"EIF2AK1|27102"	"TNNC1|7134"	"PTPRB|5787"	"ZNF587|84914"	"CXCL14|9547"	"MANF|7873"	"KBTBD2|25948"	"SLC25A28|81894"
"72"	"72"	"3.47229168986205"	"PHLDB2|90102"	"TPBG|7162"	"FIG4|9896"	"CSRNP1|64651"	"GEM|2669"	"DHDDS|79947"	"KIF11|3832"	"ALDH5A1|7915"
"73"	"73"	"3.31159189328944"	"GPR146|115330"	"SLC22A18|5002"	"CENPF|1063"	"TDRKH|11022"	"HERPUD1|9709"	"FADS1|3992"	"CDV3|55573"	"EARS2|124454"
"74"	"74"	"3.67248330979281"	"SIRPB1|10326"	"LILRB4|11006"	"COG2|22796"	"ITGA2|3673"	"NEK7|140609"	"HDAC1|3065"	"FNDC1|84624"	"PPFIBP1|8496"
"75"	"75"	"3.46209005151403"	"ADARB1|104"	"SSC5D|284297"	"AOC3|8639"	"HEATR1|55127"	"PODN|127435"	"SLC25A10|1468"	"ZNF358|140467"	"ZNF275|10838"
"76"	"76"	"3.04415661929318"	"GAPDH|2597"	"MYCT1|80177"	"TRIM2|23321"	"HSPC159|29094"	"GLDN|342035"	"ITGBL1|9358"	"PDIA6|10130"	"GPR109A|338442"
"77"	"77"	"3.38614220796045"	"FOXF1|2294"	"ADRB2|154"	"HMCN1|83872"	"SPDEF|25803"	"CGNL1|84952"	"AKAP12|9590"	"CRIP1|1396"	"MGC29506|51237"
"78"	"78"	"3.77987648824548"	"DDR1|780"	"C11orf9|745"	"CAPN5|726"	"TPX2|22974"	"LRRC16A|55604"	"CLEC2D|29121"	"FCN3|8547"	"TMEM109|79073"
"79"	"79"	"3.37149355928144"	"FAM20B|9917"	"ABP1|26"	"SIDT2|51092"	"CSF3|1440"	"HYOU1|10525"	"CEP55|55165"	"STX6|10228"	"PIAS3|10401"
"80"	"80"	"3.83167860715032"	"MSR1|4481"	"TREM2|54209"	"NEK2|4751"	"SEC24A|10802"	"LDB1|8861"	"GALNT10|55568"	"SLC26A2|1836"	"MID1IP1|58526"
"81"	"81"	"3.4936163710407"	"LMO2|4005"	"EPHB2|2048"	"ADAM17|6868"	"DAPK3|1613"	"CHPF|79586"	"GART|2618"	"CEACAM1|634"	"TCF3|6929"
"82"	"82"	"3.49759524974949"	"HN1L|90861"	"RBMS2|5939"	"LOC100129034|100129034"	"PABPC4|8761"	"NFE2L3|9603"	"TMEM59L|25789"	"PRC1|9055"	"CDON|50937"
"83"	"83"	"3.36795118101279"	"CD300LG|146894"	"RUSC2|9853"	"DPH3|285381"	"RAB11FIP1|80223"	"VSIG1|340547"	"SYT7|9066"	"SETD3|84193"	"ADAM9|8754"
"84"	"84"	"3.25698245533428"	"SDPR|8436"	"SLC19A3|80704"	"FBXO7|25793"	"MORC2|22880"	"IGJ|3512"	"F2RL1|2150"	"FAM65A|79567"	"MYO1E|4643"
"85"	"85"	"3.16254473859263"	"CALCRL|10203"	"POSTN|10631"	"ZBTB47|92999"	"CRY1|1407"	"PCOLCE2|26577"	"CTNNBL1|56259"	"VPS24|51652"	"ENTPD6|955"
"86"	"86"	"3.33845959842272"	"SGK269|79834"	"PTGFRN|5738"	"GNAQ|2776"	"PDXDC1|23042"	"SPNS1|83985"	"LPCAT3|10162"	"ITPR2|3709"	"TMEM37|140738"
"87"	"87"	"3.1843802699384"	"PGM2L1|283209"	"DOCK4|9732"	"CRELD2|79174"	"SRD5A1|6715"	"ZNF322A|79692"	"RHBDD2|57414"	"CYYR1|116159"	"SQLE|6713"
"88"	"88"	"2.94122485113051"	"GPIHBP1|338328"	"EPCAM|4072"	"PARD6B|84612"	"SIX4|51804"	"PTMS|5763"	"SERPINH1|871"	"PGM1|5236"	"NUDT9|53343"
"89"	"89"	"2.97764123517806"	"BTNL9|153579"	"OSCAR|126014"	"SEPT10|151011"	"CTSE|1510"	"SLC35F5|80255"	"POLM|27434"	"PSAT1|29968"	"STARD3NL|83930"
"90"	"90"	"3.24798970205443"	"COL11A1|1301"	"TIMP3|7078"	"PRRC1|133619"	"SMYD5|10322"	"PVRL1|5818"	"C1orf63|57035"	"NFKBIZ|64332"	"GPR183|1880"
"91"	"91"	"3.08412208919021"	"LATS2|26524"	"KRT80|144501"	"SEC31A|22872"	"NEBL|10529"	"ST6GALNAC6|30815"	"LTBP2|4053"	"TRUB2|26995"	"ITGAV|3685"
"92"	"92"	"3.27615615591708"	"MKI67|4288"	"PTPN1|5770"	"MGP|4256"	"C1orf115|79762"	"SLC39A7|7922"	"NES|10763"	"PDLIM1|9124"	"FZD4|8322"
"93"	"93"	"3.34736841213165"	"SOX7|83595"	"GGA2|23062"	"MAP3K1|4214"	"PMM2|5373"	"EIF4G3|8672"	"DEF6|50619"	"SEMA3B|7869"	"SPATA20|64847"
"94"	"94"	"3.26220521482944"	"LTBP4|8425"	"HSPG2|3339"	"SMARCA5|8467"	"SMARCAD1|56916"	"APBB2|323"	"COL1A2|1278"	"CD93|22918"	"ARL2|402"
"95"	"95"	"3.18957503730272"	"JAM2|58494"	"SULF1|23213"	"C5AR1|728"	"SMPDL3B|27293"	"MPEG1|219972"	"GPRIN2|9721"	"GIMAP6|474344"	"EPR1|8475"
"96"	"96"	"3.19882652583298"	"CLEC14A|161198"	"SC65|10609"	"FUT3|2525"	"FUBP1|8880"	"NAPSB|256236"	"OLR1|4973"	"KNTC1|9735"	"ABCB6|10058"
"97"	"97"	"3.24687592337557"	"C10orf54|64115"	"P2RY6|5031"	"SEC22C|9117"	"SPCS1|28972"	"INPP5D|3635"	"PEX5|5830"	"C12orf32|83695"	"C1orf162|128346"
"98"	"98"	"3.47700971414976"	"ST14|6768"	"CEP350|9857"	"SSH2|85464"	"ADAM19|8728"	"RASAL2|9462"	"BZW2|28969"	"GPM6B|2824"	"ORAI1|84876"
"99"	"99"	"3.11689877384387"	"SSFA2|6744"	"LASS6|253782"	"WASF3|10810"	"TESC|54997"	"PRAM1|84106"	"SLC1A1|6505"	"CDH3|1001"	"PODXL2|50512"
"100"	"100"	"3.28817042847651"	"TOM1L2|146691"	"RAI1|10743"	"RAG1AP1|55974"	"ARHGAP1|392"	"MVD|4597"	"TNS1|7145"	"ZNF618|114991"	"SIK2|23235"
"101"	"101"	"2.91067389192071"	"TMEM100|55273"	"RILPL2|196383"	"CP|1356"	"LRRC20|55222"	"CASP3|836"	"TEP1|7011"	"TRIM25|7706"	"HMGA1|3159"
"102"	"102"	"3.22930050378717"	"ERG|2078"	"FHL2|2274"	"KLF4|9314"	"SLC7A11|23657"	"ELN|2006"	"SLC44A2|57153"	"GRHL1|29841"	"ATF7IP|55729"
"103"	"103"	"3.48646986924815"	"SMAD6|4091"	"CYTH4|27128"	"DOK2|9046"	"MMP15|4324"	"RC3H1|149041"	"CCNT2|905"	"RAP2B|5912"	"KPNA4|3840"
"104"	"104"	"3.19651540945093"	"IL6|3569"	"ZFYVE9|9372"	"ENTPD7|57089"	"PLEKHA1|59338"	"FRMD4A|55691"	"BRD8|10902"	"GPX3|2878"	"TMEM176B|28959"
"105"	"105"	"2.91011297328248"	"CLIC5|53405"	"CRYAB|1410"	"KDELR2|11014"	"SBK1|388228"	"RYBP|23429"	"C7orf26|79034"	"GCHFR|2644"	"WDR55|54853"
"106"	"106"	"3.23459752346106"	"MSRB3|253827"	"FBN1|2200"	"TLN1|7094"	"VARS|7407"	"PPFIBP2|8495"	"SRPX2|27286"	"LMCD1|29995"	"DUSP4|1846"
"107"	"107"	"3.02990976782157"	"ENG|2022"	"VDR|7421"	"C17orf91|84981"	"DDOST|1650"	"C1orf38|9473"	"STAB1|23166"	"TRAF5|7188"	"ATP2C1|27032"
"108"	"108"	"3.18545826999018"	"LUM|4060"	"DCN|1634"	"BCL6B|255877"	"CHST15|51363"	"MED20|9477"	"OSGIN2|734"	"SLC48A1|55652"	"COMMD9|29099"
"109"	"109"	"3.27527220600791"	"OLFML2B|25903"	"RECK|8434"	"TSPAN18|90139"	"SERTAD1|29950"	"MMP2|4313"	"KIAA1522|57648"	"PRDX4|10549"	"ZNF207|7756"
"110"	"110"	"3.10091772904975"	"RRM2|6241"	"ACSL5|51703"	"TTC3|7267"	"DECR2|26063"	"SIX1|6495"	"TSTA3|7264"	"HBB|3043"	"HIRIP3|8479"
"111"	"111"	"3.15732752248218"	"CANT1|124583"	"EHD1|10938"	"SYVN1|84447"	"UBE2C|11065"	"CD36|948"	"CAMK2D|817"	"PHF17|79960"	"RRAGD|58528"
"112"	"112"	"3.15148502368753"	"NET1|10276"	"CALR|811"	"SFXN4|119559"	"RBM17|84991"	"SMG1|23049"	"CCDC55|84081"	"TSKU|25987"	"CAB39L|81617"
"113"	"113"	"3.20645966450014"	"TLCD1|116238"	"SPATS2|65244"	"HYAL1|3373"	"FA2H|79152"	"CCDC59|29080"	"ARHGEF10|9639"	"FLCN|201163"	"SORT1|6272"
"114"	"114"	"2.9315484303805"	"LRRC36|55282"	"CDCA7|83879"	"ZAK|51776"	"MPZL1|9019"	"MCCC2|64087"	"WDR8|49856"	"FGD6|55785"	"S1PR3|1903"
"115"	"115"	"2.8973107520911"	"SFRP4|6424"	"JDP2|122953"	"PDE5A|8654"	"GNG11|2791"	"CCNB1|891"	"CDC42BPA|8476"	"SREBF2|6721"	"SGSM3|27352"
"116"	"116"	"2.87514895322869"	"CA4|762"	"SEMA4B|10509"	"CCT3|7203"	"ITGA5|3678"	"MMP14|4323"	"STAT2|6773"	"PVR|5817"	"IRAK1|3654"
"117"	"117"	"3.19099936260449"	"SYNM|23336"	"EPRS|2058"	"PLAU|5328"	"VSIG4|11326"	"MS4A4A|51338"	"TPM4|7171"	"MS4A7|58475"	"AGR2|10551"
"118"	"118"	"3.31849661772284"	"ADAM12|8038"	"GLB1L2|89944"	"GJA5|2702"	"SPN|6693"	"SCD5|79966"	"IKZF1|10320"	"APOLD1|81575"	"NCF1|653361"
"119"	"119"	"2.81505797060745"	"FMO2|2327"	"VCAM1|7412"	"GYLTL1B|120071"	"PCBP1|5093"	"TNS4|84951"	"DAB2IP|153090"	"PSD4|23550"	"FLVCR2|55640"
"120"	"120"	"2.9688932587403"	"FOXM1|2305"	"GOLPH3L|55204"	"COL18A1|80781"	"PDGFB|5155"	"MEPCE|56257"	"AP1G2|8906"	"ACVR1|90"	"NUMB|8650"
"121"	"121"	"2.82051788491668"	"ZBTB41|360023"	"MPP5|64398"	"EIF2B2|8892"	"PLEKHA7|144100"	"C6orf174|387104"	"LNX2|222484"	"DCAF12|25853"	"SMU1|55234"
"122"	"122"	"3.13547836422676"	"PHF12|57649"	"CCNA2|890"	"PHACTR2|9749"	"YIPF1|54432"	"VWA2|340706"	"MARCO|8685"	"H2AFZ|3015"	"MKNK2|2872"
"123"	"123"	"3.36019034072873"	"KPNA3|3839"	"APOB48R|55911"	"COL16A1|1307"	"GFOD2|81577"	"STON1|11037"	"CBFB|865"	"SLC5A6|8884"	"ERO1L|30001"
"124"	"124"	"2.99901190123525"	"NCAPG|64151"	"FABP5|2171"	"IFRD1|3475"	"MESDC1|59274"	"BAIAP2L1|55971"	"GPR172A|79581"	"TTC7A|57217"	"SDC3|9672"
"125"	"125"	"2.99930508355755"	"ZWINT|11130"	"LAMP3|27074"	"STRBP|55342"	"PDCL|5082"	"SURF4|6836"	"TMEM159|57146"	"SFRS12|140890"	"STAM|8027"
