"Index"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"259"	"259"	"1.86258081562521"	"CHD1L|9557"	"ALG3|10195"	"B4GALNT3|283358"	"ZMYM4|9202"	"SNHG1|23642"	"CCNL1|57018"	"ST8SIA4|7903"	"PID1|55022"
"260"	"260"	"1.95859872282375"	"LRCH1|23143"	"ACOT1|641371"	"BICD2|23299"	"LRRC23|10233"	"RHOV|171177"	"SOCS3|9021"	"SULT1A3|6818"	"XPO6|23214"
"261"	"261"	"1.95105459082252"	"PRICKLE2|166336"	"PAM|5066"	"HSD17B4|3295"	"PROS1|5627"	"CRIP2|1397"	"PLEKHB2|55041"	"ACBD3|64746"	"C1orf55|163859"
"262"	"262"	"1.79202374813061"	"DARS2|55157"	"LEPREL2|10536"	"MFSD4|148808"	"SLCO2A1|6578"	"KRT18|3875"	"SPNS2|124976"	"PPIL2|23759"	"CPOX|1371"
"263"	"263"	"2.19687545593872"	"GIMAP4|55303"	"ARHGDIB|397"	"STAT1|6772"	"IFIT3|3437"	"ZNF331|55422"	"SDCCAG3|10807"	"WARS|7453"	"HARS2|23438"
"264"	"264"	"1.78625705534596"	"GABARAPL2|11345"	"RAPGEF1|2889"	"PSMD7|5713"	"DST|667"	"ABCA2|20"	"NR4A1|3164"	"GPSM1|26086"	"SLC25A3|5250"
"265"	"265"	"1.81746765563724"	"DUOX1|53905"	"SH3BP5|9467"	"FAF2|23197"	"ZC3H12C|85463"	"SDC2|6383"	"OAT|4942"	"C10orf84|63877"	"PIGC|5279"
"266"	"266"	"1.95063083722616"	"B3GNT1|11041"	"KIAA0319L|79932"	"HPRT1|3251"	"PIK3C2A|5286"	"C1orf212|113444"	"COPB1|1315"	"PTPN6|5777"	"NAT9|26151"
"267"	"267"	"1.92913851262808"	"CEACAM6|4680"	"MOSC2|54996"	"LGALS3BP|3959"	"CD97|976"	"C4orf14|84273"	"ARHGAP11A|9824"	"TMEM138|51524"	"PRPSAP1|5635"
"268"	"268"	"1.85498866533174"	"KPNA2|3838"	"RAP2A|5911"	"ARAP2|116984"	"DNAJC3|5611"	"ALAS1|211"	"ZNF320|162967"	"C4orf34|201895"	"PRDX6|9588"
"269"	"269"	"1.75288304244222"	"ATP2A2|488"	"SELP|6403"	"SNRNP25|79622"	"CAPRIN1|4076"	"GPN3|51184"	"CKLF|51192"	"ANXA5|308"	"RPS18|6222"
"270"	"270"	"2.12018003771063"	"MCM2|4171"	"TRADD|8717"	"C3orf37|56941"	"EMILIN2|84034"	"THAP11|57215"	"IER2|9592"	"PAPD4|167153"	"UBIAD1|29914"
"271"	"271"	"1.77505464209242"	"ZNF117|51351"	"ZBTB4|57659"	"NOTCH3|4854"	"TBC1D4|9882"	"CEBPG|1054"	"GPI|2821"	"ARFGEF1|10565"	"APOD|347"
"272"	"272"	"1.74205801609257"	"AURKA|6790"	"DNASE1L3|1776"	"CCDC88A|55704"	"DNAH2|146754"	"CYP1B1|1545"	"SORBS1|10580"	"EPB41|2035"	"EXPH5|23086"
"273"	"273"	"1.67941675549119"	"TMCO1|54499"	"RBM28|55131"	"RHPN1|114822"	"CUL4B|8450"	"RAB34|83871"	"H2AFJ|55766"	"RNF146|81847"	"RNASET2|8635"
"274"	"274"	"1.65321521136618"	"FEN1|2237"	"C1orf27|54953"	"TMEM54|113452"	"RELL1|768211"	"PDLIM4|8572"	"SF3B1|23451"	"MAP2|4133"	"RAB15|376267"
"275"	"275"	"2.06327148963802"	"OBFC2B|79035"	"FADD|8772"	"C11orf59|55004"	"AMACR|23600"	"OST4|100128731"	"NPAT|4863"	"PNKD|25953"	"TTC33|23548"
"276"	"276"	"1.81508726788677"	"NME2|4831"	"SNRNP200|23020"	"LAMC3|10319"	"CCDC120|90060"	"ACSS2|55902"	"HNRPDL|9987"	"TMEM165|55858"	"NUAK2|81788"
"277"	"277"	"1.85389888599008"	"NUP155|9631"	"CNPY2|10330"	"DAZAP2|9802"	"CASP8|841"	"C17orf28|283987"	"DCTN5|84516"	"RASA1|5921"	"SMARCB1|6598"
"278"	"278"	"2.24053488090934"	"PPP2CB|5516"	"GTF2E2|2961"	"STX7|8417"	"TM9SF2|9375"	"BET1|10282"	"MAML1|9794"	"SLC29A1|2030"	"PERP|64065"
"279"	"279"	"1.74777579473422"	"ABTB1|80325"	"SPINT2|10653"	"ALDH1B1|219"	"ULK3|25989"	"ATF6B|1388"	"MAN2A2|4122"	"PEPD|5184"	"SLC12A7|10723"
"280"	"280"	"1.70065017663058"	"MTIF2|4528"	"HADHA|3030"	"WDR77|79084"	"REEP3|221035"	"HIAT1|64645"	"PLAGL1|5325"	"KIAA1715|80856"	"NLGN2|57555"
"281"	"281"	"1.81476516327456"	"TLK1|9874"	"MARCH7|64844"	"TIPRL|261726"	"FTH1|2495"	"SFN|2810"	"C5orf23|79614"	"RPN2|6185"	"APBA2|321"
"282"	"282"	"1.81217359147468"	"TNFSF12|8742"	"MRPL24|79590"	"COL8A2|1296"	"MEIS1|4211"	"FAM160B2|64760"	"SUN2|25777"	"CLN8|2055"	"ZNF710|374655"
"283"	"283"	"1.83874775182908"	"SFTPC|6440"	"MAP7D1|55700"	"SEPT9|10801"	"MED8|112950"	"TNC|3371"	"SOLH|6650"	"TMEM14A|28978"	"C12orf35|55196"
"284"	"284"	"1.63943450171279"	"KLF2|10365"	"ICA1|3382"	"AHNAK2|113146"	"KIF22|3835"	"PRPS2|5634"	"H2AFV|94239"	"RICH2|9912"	"RNF19B|127544"
"285"	"285"	"2.15824273670502"	"EVI2A|2123"	"RBMXL1|494115"	"PSMA5|5686"	"VPS29|51699"	"LAPTM5|7805"	"ITM2A|9452"	"RNF34|80196"	"TBC1D17|79735"
"286"	"286"	"1.80177889647553"	"CA2|760"	"ARSE|415"	"ERBB2|2064"	"SCEL|8796"	"TAF1D|79101"	"PLIN3|10226"	"HIST2H4A|8370"	"NDUFAF3|25915"
"287"	"287"	"1.88549563719545"	"PHF2|5253"	"ZC3H11A|9877"	"N4BP2L2|10443"	"INO80|54617"	"CNN1|1264"	"DEGS1|8560"	"ACTA2|59"	"ZFYVE19|84936"
"288"	"288"	"1.76963836880244"	"RARS|5917"	"H1F0|3005"	"EHMT2|10919"	"USP37|57695"	"RFC1|5981"	"PDS5B|23047"	"TPP2|7174"	"WWC1|23286"
"289"	"289"	"1.74955830140754"	"CYP27A1|1593"	"TTLL4|9654"	"PLEKHM3|389072"	"RPRD2|23248"	"ARNT|405"	"LAPTM4B|55353"	"ZCCHC2|54877"	"DYNLL1|8655"
"290"	"290"	"1.7798178052254"	"SYNPO2|171024"	"LTBP1|4052"	"ESRP1|54845"	"FRAS1|80144"	"ETS2|2114"	"FGL1|2267"	"NAT10|55226"	"SLC1A7|6512"
"291"	"291"	"1.72624817194182"	"FGD3|89846"	"LIMD2|80774"	"CXorf36|79742"	"ZDHHC5|25921"	"USP21|27005"	"ENTPD1|953"	"SLC37A3|84255"	"VEZF1|7716"
"292"	"292"	"2.07937999283382"	"POLB|5423"	"GOLGA7|51125"	"SMUG1|23583"	"CKAP5|9793"	"RGS12|6002"	"SMPDL3A|10924"	"SARNP|84324"	"RSL1D1|26156"
"293"	"293"	"1.85243308315194"	"PPME1|51400"	"ERBB3|2065"	"RAB5B|5869"	"MYH14|79784"	"CKAP4|10970"	"HMGN1|3150"	"PRKRIR|5612"	"TLE3|7090"
"294"	"294"	"1.78370680394622"	"AFF3|3899"	"TLR4|7099"	"PTPRC|5788"	"ITGAL|3683"	"ATXN2L|11273"	"ACP2|53"	"FMO5|2330"	"STOM|2040"
"295"	"295"	"1.74540434336976"	"ABCA8|10351"	"MRPS33|51650"	"BCAP29|55973"	"DHRS4|10901"	"MVP|9961"	"MRPL30|51263"	"C7orf70|84792"	"OFD1|8481"
"296"	"296"	"1.83015892595016"	"ATAD2|29028"	"CDK17|5128"	"C22orf13|83606"	"BET1L|51272"	"HPS4|89781"	"TNPO2|30000"	"SRM|6723"	"GPS2|2874"
"297"	"297"	"1.95886977491174"	"ACTL6A|86"	"ZNF639|51193"	"HHIP|64399"	"TBL2|26608"	"BAT2L2|23215"	"EIF4H|7458"	"TBC1D9B|23061"	"APC|324"
"298"	"298"	"1.65866376015594"	"UVRAG|7405"	"TRIM68|55128"	"CDKN1C|1028"	"CCHCR1|54535"	"CLNS1A|1207"	"SH3PXD2B|285590"	"SLC39A10|57181"	"EPHX3|79852"
"299"	"299"	"1.67891650612533"	"MRPL9|65005"	"UBE2H|7328"	"MARCH9|92979"	"WWC3|55841"	"ZFC3H1|196441"	"FTSJ1|24140"	"TMEM57|55219"	"MCL1|4170"
"300"	"300"	"1.58213520927243"	"SPARCL1|8404"	"SSR1|6745"	"NMRAL1|57407"	"XYLT1|64131"	"ATP6V0C|527"	"CADM1|23705"	"ST3GAL5|8869"	"CDK1|983"
"301"	"301"	"1.87154033688235"	"SOX12|6666"	"ZCCHC3|85364"	"FAM184A|79632"	"TPST2|8459"	"ASCC2|84164"	"RPA2|6118"	"YOD1|55432"	"VAMP3|9341"
"302"	"302"	"1.6776066532041"	"LPL|4023"	"TPI1|7167"	"PRF1|5551"	"APOBEC3G|60489"	"RAB32|10981"	"UBQLN4|56893"	"WBP11|51729"	"AIF1L|83543"
"303"	"303"	"1.51214730079944"	"C7orf58|79974"	"GKN2|200504"	"CD46|4179"	"CCNG2|901"	"CD55|1604"	"ATAD3A|55210"	"NUCB2|4925"	"NUS1|116150"
"304"	"304"	"1.64006891374325"	"KPNB1|3837"	"JTB|10899"	"RNASEK|440400"	"TMEM134|80194"	"STAT5B|6777"	"SLC15A2|6565"	"C4A|720"	"UBAC2|337867"
"305"	"305"	"1.63354259923134"	"EFEMP2|30008"	"FBLN2|2199"	"NOTCH1|4851"	"ISCA1|81689"	"REXO4|57109"	"SRP9|6726"	"ZNF532|55205"	"RHBDF1|64285"
"306"	"306"	"1.84144601455359"	"GSTA4|2941"	"ICK|22858"	"ATXN1L|342371"	"SF3B3|23450"	"TXLNA|200081"	"ID2|3398"	"XBP1|7494"	"CREBZF|58487"
"307"	"307"	"1.62457101412276"	"TRIP13|9319"	"LRRC46|90506"	"FOSB|2354"	"TLR8|51311"	"IL10RA|3587"	"TMC4|147798"	"PHKB|5257"	"BCKDK|10295"
"308"	"308"	"1.77800906944985"	"PANX2|56666"	"CES1|1066"	"WASF2|10163"	"XRCC5|7520"	"STK38|11329"	"UBN1|29855"	"DNTTIP1|116092"	"FAM46C|54855"
"309"	"309"	"1.81116198666304"	"TSPAN7|7102"	"UGDH|7358"	"RPS2|6187"	"TRMT2B|79979"	"FTHL3|2498"	"CD24|100133941"	"NPLOC4|55666"	"ALDH3B1|221"
"310"	"310"	"2.04401891925897"	"CASZ1|54897"	"RABEP2|79874"	"FKBP8|23770"	"UPF1|5976"	"RAB25|57111"	"MAD2L2|10459"	"EVL|51466"	"COL9A2|1298"
"311"	"311"	"1.72744704575505"	"RXRA|6256"	"FAM83H|286077"	"ZFP36|7538"	"GOLGA2|2801"	"GNPDA1|10007"	"IER3|8870"	"PDCD6IP|10015"	"SGTA|6449"
"312"	"312"	"1.62358558167267"	"NF1|4763"	"BOLA2|552900"	"STAP2|55620"	"PRPF19|27339"	"RAD23A|5886"	"DDX56|54606"	"RABGEF1|27342"	"SHANK2|22941"
"313"	"313"	"1.53474324747042"	"TSPYL1|7259"	"FLT4|2324"	"MS4A15|219995"	"SEC24C|9632"	"INHBB|3625"	"NOMO1|23420"	"METTL11A|28989"	"TGFA|7039"
"314"	"314"	"1.65906930154988"	"AG2|387763"	"HDGF|3068"	"FAM53B|9679"	"FBXL6|26233"	"NIPSNAP3A|25934"	"HDAC7|51564"	"CHRAC1|54108"	"TNFAIP8|25816"
"315"	"315"	"1.62552144618535"	"POLR1B|84172"	"PDCD6|10016"	"TPPP|11076"	"C9orf123|90871"	"DNAJC4|3338"	"CTPS2|56474"	"LCN2|3934"	"SAP18|10284"
"316"	"316"	"1.6454975065009"	"NPEPPS|9520"	"DENND4C|55667"	"TP53|7157"	"C11orf10|746"	"GABARAP|11337"	"ACAA2|10449"	"PPARA|5465"	"PRDX5|25824"
"317"	"317"	"1.60278514239288"	"CDK12|51755"	"PSMB4|5692"	"COL6A6|131873"	"RAB21|23011"	"GALNT1|2589"	"ZNF271|10778"	"TBC1D9|23158"	"RPS6KA3|6197"
"318"	"318"	"1.66547677567517"	"FBLN5|10516"	"AUTS2|26053"	"SEC13|6396"	"LSM3|27258"	"CRY2|1408"	"RBBP4|5928"	"OSBP|5007"	"PTGS2|5743"
"319"	"319"	"1.53423811623238"	"SEPT4|5414"	"AMICA1|120425"	"IL27RA|9466"	"IL2RG|3561"	"IRF1|3659"	"FEM1A|55527"	"YTHDF1|54915"	"NADSYN1|55191"
"320"	"320"	"1.58818371241209"	"MRPL17|63875"	"GON4L|54856"	"DISP1|84976"	"TMED4|222068"	"EFEMP1|2202"	"PLAT|5327"	"ST6GAL1|6480"	"PURB|5814"
"321"	"321"	"1.7557715687233"	"ALDOA|226"	"ZNF260|339324"	"CAPNS1|826"	"C5orf24|134553"	"BTF3|689"	"BCAS1|8537"	"GET4|51608"	"CHPT1|56994"
"322"	"322"	"1.81991983343944"	"RECQL5|9400"	"KIAA0195|9772"	"STIP1|10963"	"MIF|4282"	"COX8A|1351"	"AGAP1|116987"	"C14orf43|91748"	"CXCR7|57007"
"323"	"323"	"1.50730969337909"	"ABI3BP|25890"	"NFS1|9054"	"C20orf4|25980"	"MGAT2|4247"	"CXCL5|6374"	"ZC3H14|79882"	"AGGF1|55109"	"DSP|1832"
"324"	"324"	"1.697372133914"	"ACAP2|23527"	"XPO1|7514"	"DNAJB11|51726"	"BMP6|654"	"SFRS7|6432"	"SEC11C|90701"	"WDR7|23335"	"ANAPC1|64682"
"325"	"325"	"1.689952716988"	"HEATR2|54919"	"MARCH6|10299"	"IFITM1|8519"	"PLEKHH2|130271"	"CDK5RAP3|80279"	"IFITM3|10410"	"ARIH2|10425"	"TWF1|5756"
"326"	"326"	"1.71721252316189"	"PRKACA|5566"	"CSDA|8531"	"ETV6|2120"	"GNB2L1|10399"	"TNFSF13|8741"	"SH3GL1|6455"	"SDHC|6391"	"PCNP|57092"
"327"	"327"	"1.48876401273972"	"ARHGEF6|9459"	"RFX5|5993"	"SLC20A1|6574"	"PISD|23761"	"C9orf5|23731"	"MAPK13|5603"	"IER5|51278"	"RAB17|64284"
"328"	"328"	"1.81270256546423"	"HTT|3064"	"NOP14|8602"	"ECSIT|51295"	"CPT1A|1374"	"TIPARP|25976"	"PCNXL3|399909"	"CCDC6|8030"	"PCGF3|10336"
"329"	"329"	"1.67762581543647"	"OSTF1|26578"	"C20orf24|55969"	"CAPN1|823"	"PLCD3|113026"	"TMEM125|128218"	"SLC44A4|80736"	"AK2|204"	"ATM|472"
"330"	"330"	"1.79510939811879"	"WSB2|55884"	"TMED2|10959"	"FBXL5|26234"	"ELTD1|64123"	"ZNF664|144348"	"NID2|22795"	"TRIOBP|11078"	"NAMPT|10135"
"331"	"331"	"1.58801900726635"	"CD300LF|146722"	"NPNT|255743"	"LACTB2|51110"	"DNMT1|1786"	"BFAR|51283"	"CTSA|5476"	"TTC14|151613"	"UBE2J1|51465"
"332"	"332"	"1.68756383261934"	"TAF2|6873"	"HECA|51696"	"FAM82B|51115"	"HNRPLL|92906"	"C6orf115|58527"	"POLE4|56655"	"TBL1XR1|79718"	"C22orf25|128989"
"333"	"333"	"1.40754866043754"	"ANGPT1|284"	"GTF3C2|2976"	"DCTN1|1639"	"FMOD|2331"	"PODXL|5420"	"WTAP|9589"	"FBXO28|23219"	"EGR2|1959"
"334"	"334"	"1.58913923787807"	"SEC22B|9554"	"RAP1A|5906"	"TMTC1|83857"	"ATF5|22809"	"LYPLA1|10434"	"SNX3|8724"	"AP3S1|1176"	"LRRC8D|55144"
"335"	"335"	"1.58594994072898"	"CPSF3|51692"	"COPG|22820"	"C20orf20|55257"	"ACAD9|28976"	"ENGASE|64772"	"OGFR|11054"	"DDX1|1653"	"STMN3|50861"
"336"	"336"	"1.72558271752909"	"FAM128A|653784"	"ATP5D|513"	"NHP2|55651"	"MEN1|4221"	"C19orf22|91300"	"CLPX|10845"	"SLC46A2|57864"	"ACAP3|116983"
"337"	"337"	"1.69369476494063"	"DPAGT1|1798"	"FDX1|2230"	"ERGIC2|51290"	"IPO8|10526"	"ZBTB33|10009"	"TBCEL|219899"	"C19orf56|51398"	"THYN1|29087"
"338"	"338"	"1.424037539016"	"C15orf44|81556"	"FEM1B|10116"	"EPT1|85465"	"AGTR2|186"	"VSTM2L|128434"	"SERPINB6|5269"	"DHX32|55760"	"HIST1H2AC|8334"
"339"	"339"	"1.54529661846665"	"N4BP2L1|90634"	"WIF1|11197"	"C6orf125|84300"	"RNF160|26046"	"SLC29A4|222962"	"IRF2|3660"	"CD9|928"	"FAM69B|138311"
"340"	"340"	"1.58035331495455"	"EPB41L2|2037"	"NECAB3|63941"	"PRKDC|5591"	"NARFL|64428"	"NR1H2|7376"	"MBOAT7|79143"	"MAF|4094"	"MRS2|57380"
"341"	"341"	"1.47329735932986"	"ISG20L2|81875"	"ALG8|79053"	"PLXNB2|23654"	"LCMT1|51451"	"THRA|7067"	"ZNF7|7553"	"DUSP1|1843"	"FAM134A|79137"
"342"	"342"	"1.55007557135193"	"SDAD1|55153"	"OSMR|9180"	"CLIP1|6249"	"HIP1R|9026"	"MXD4|10608"	"SHROOM4|57477"	"DSCR3|10311"	"RER1|11079"
"343"	"343"	"1.38150935634502"	"HOOK1|51361"	"UNC119|9094"	"EFNA5|1946"	"FRY|10129"	"AMMECR1|9949"	"HIST1H2BK|85236"	"ANKH|56172"	"EPB41L3|23136"
"344"	"344"	"1.42474473499623"	"GARS|2617"	"GRB7|2886"	"PLLP|51090"	"TMEM59|9528"	"FAM105A|54491"	"SKAP2|8935"	"FAM53C|51307"	"KDM3B|51780"
"345"	"345"	"1.83591296217948"	"UGGT1|56886"	"STYXL1|51657"	"LAMA4|3910"	"ANGPTL2|23452"	"VGLL3|389136"	"MARCH2|51257"	"HEPH|9843"	"ABLIM1|3983"
"346"	"346"	"1.76580037356999"	"PLEKHO2|80301"	"MCM6|4175"	"CD14|929"	"THBS3|7059"	"UBE2W|55284"	"DCTN6|10671"	"CHMP7|91782"	"SLC35C1|55343"
"347"	"347"	"1.43340791814872"	"NOL11|25926"	"PTGER4|5734"	"AP1B1|162"	"PEG10|23089"	"TMEM115|11070"	"RNF185|91445"	"C20orf108|116151"	"MTMR11|10903"
"348"	"348"	"1.57477643097229"	"SLC39A14|23516"	"EFNB1|1947"	"KCTD9|54793"	"TNFRSF10B|8795"	"FILIP1|27145"	"THOC3|84321"	"GGPS1|9453"	"MARK2|2011"
"349"	"349"	"1.61210492344888"	"KIF5B|3799"	"ARHGAP12|94134"	"SEPP1|6414"	"NDUFS1|4719"	"RNASEN|29102"	"C19orf10|56005"	"NUFIP2|57532"	"NRSN2|80023"
"350"	"350"	"1.60394558144204"	"GPR39|2863"	"NEDD9|4739"	"ABCA3|21"	"GPC4|2239"	"PLSCR4|57088"	"MUC13|56667"	"KLK10|5655"	"ILVBL|10994"
"351"	"351"	"1.69722447162201"	"IL33|90865"	"TM9SF4|9777"	"ASXL1|171023"	"BTAF1|9044"	"WAPAL|23063"	"TFAM|7019"	"ADAR|103"	"GAA|2548"
"352"	"352"	"1.57288557364621"	"SYAP1|94056"	"FBXW4|6468"	"RP2|6102"	"HERC4|26091"	"ZDHHC4|55146"	"PYCR2|29920"	"ORAI3|93129"	"TOMM7|54543"
"353"	"353"	"1.56150261644171"	"SELPLG|6404"	"PLCE1|51196"	"TSC22D1|8848"	"EHF|26298"	"HTRA1|5654"	"UNC119B|84747"	"MFRP|83552"	"MLEC|9761"
"354"	"354"	"1.66342077013768"	"SNX14|57231"	"PGM3|5238"	"ITPKC|80271"	"HIF1A|3091"	"DHX34|9704"	"PTTG1IP|754"	"DYSF|8291"	"PRR15L|79170"
"355"	"355"	"1.55642162436495"	"MOV10|4343"	"CSDE1|7812"	"WDR3|10885"	"CLIC6|54102"	"COPS8|10920"	"PARP12|64761"	"CC2D2A|57545"	"C10orf57|80195"
"356"	"356"	"1.51981171809951"	"LIG3|3980"	"SND1|27044"	"CHCHD3|54927"	"PSMA1|5682"	"CACNA2D2|9254"	"ACTN4|81"	"GTF2IRD1|9569"	"TMCO4|255104"
"357"	"357"	"1.64661273551959"	"USO1|8615"	"RCOR1|23186"	"YY1|7528"	"CELSR2|1952"	"RCHY1|25898"	"LOC146880|146880"	"MRPL44|65080"	"LRRC41|10489"
"358"	"358"	"1.5364286906297"	"CAD|790"	"CBL|867"	"ARCN1|372"	"PER1|5187"	"MORF4L1|10933"	"CYTSA|23384"	"PHF15|23338"	"CCDC117|150275"
"359"	"359"	"1.47658902484746"	"ATOH8|84913"	"SRPX|8406"	"PHF10|55274"	"NAV1|89796"	"TH1L|51497"	"BZW1|9689"	"VAPB|9217"	"AMY1A|276"
"360"	"360"	"1.41203873314919"	"PTRH2|51651"	"FAM134B|54463"	"CKMT1B|1159"	"ESD|2098"	"VPS35|55737"	"NONO|4841"	"FNTB|2342"	"MAPK1IP1L|93487"
"361"	"361"	"1.44012847456554"	"NSUN2|54888"	"PAEP|5047"	"AHCY|191"	"ARHGAP32|9743"	"RNF181|51255"	"POLH|5429"	"MRPL14|64928"	"EZH1|2145"
"362"	"362"	"1.57229222617322"	"PLXNA3|55558"	"FAM127A|8933"	"MKI67IP|84365"	"PPIC|5480"	"FGD4|121512"	"CLCN3|1182"	"KLHL2|11275"	"OXSR1|9943"
"363"	"363"	"1.45312632087899"	"SETDB1|9869"	"COL8A1|1295"	"LMOD1|25802"	"PYCRL|65263"	"MAF1|84232"	"PARK7|11315"	"IGFBP5|3488"	"STK24|8428"
"364"	"364"	"1.55530705697294"	"VPS72|6944"	"ZBTB22|9278"	"ZFAND3|60685"	"STK16|8576"	"CEP250|11190"	"PABPC3|5042"	"ALG13|79868"	"AGFG1|3267"
"365"	"365"	"1.36781099630217"	"C7orf28B|221960"	"CYB561|1534"	"LPP|4026"	"WWTR1|25937"	"CTDSPL|10217"	"RPL7L1|285855"	"HECW2|57520"	"ERMP1|79956"
"366"	"366"	"1.68952123507278"	"ZNF512B|57473"	"GMEB2|26205"	"ATMIN|23300"	"AKTIP|64400"	"MYO9A|4649"	"SH3BGRL|6451"	"TFAP2C|7022"	"ZNF254|9534"
"367"	"367"	"1.48751439988122"	"UBAP2L|9898"	"ARHGEF2|9181"	"SLC19A2|10560"	"GDE1|51573"	"IVNS1ABP|10625"	"MOGS|7841"	"SKI|6497"	"FTSJ2|29960"
"368"	"368"	"1.29160347880409"	"KAT2B|8850"	"TMEM189|387521"	"STAU1|6780"	"PREB|10113"	"ATP5SL|55101"	"CCDC97|90324"	"C11orf48|79081"	"ZSCAN18|65982"
"369"	"369"	"1.68237199508276"	"RIN2|54453"	"CRNKL1|51340"	"HTRA3|94031"	"ENDOD1|23052"	"CYGB|114757"	"RPUSD1|113000"	"SF3A2|8175"	"PTPRU|10076"
"370"	"370"	"1.53724096767177"	"SLC39A6|25800"	"MGAT1|4245"	"PRELID1|27166"	"ATF2|1386"	"AKR1A1|10327"	"MLL4|9757"	"VPS26B|112936"	"KANK1|23189"
"371"	"371"	"1.4029443390504"	"RNASEH2A|10535"	"LRRC8C|84230"	"ALKBH7|84266"	"ZNF593|51042"	"HMGN2|3151"	"KIF3B|9371"	"ATP9A|10079"	"MLLT4|4301"
"372"	"372"	"1.51574283163158"	"SMAD4|4089"	"RAB8A|4218"	"MEX3C|51320"	"EMP1|2012"	"PMAIP1|5366"	"FAM108C1|58489"	"SENP6|26054"	"MTMR1|8776"
"373"	"373"	"1.56312956197739"	"ZEB2|9839"	"SLC12A8|84561"	"ASH1L|55870"	"OTUD7B|56957"	"NOC2L|26155"	"GLIPR1|11010"	"AKAP11|11215"	"RNF126|55658"
"374"	"374"	"1.43802012062987"	"MRPL19|9801"	"AVPI1|60370"	"SSH3|54961"	"BASP1|10409"	"SNX15|29907"	"SLCO4C1|353189"	"CUTA|51596"	"CDCP1|64866"
"375"	"375"	"1.29271955462309"	"A2M|2"	"ST3GAL2|6483"	"DSTN|11034"	"TPM1|7168"	"LIMK2|3985"	"C20orf3|57136"	"SLC25A36|55186"	"CSNK2A1P|283106"
"376"	"376"	"1.44480574992877"	"GATA6|2627"	"C1GALT1|56913"	"PTGES2|80142"	"SLC33A1|9197"	"WDR59|79726"	"TMEM170A|124491"	"JUNB|3726"	"FBXO9|26268"
"377"	"377"	"1.53524530497127"	"NSUN5|55695"	"YIPF4|84272"	"C7orf59|389541"	"GAPVD1|26130"	"ZNF3|7551"	"MAN1B1|11253"	"ARHGAP23|57636"	"TMEM2|23670"
"378"	"378"	"1.35302339152883"	"SLIT3|6586"	"HIGD1A|25994"	"BPNT1|10380"	"RENBP|5973"	"CDK4|1019"	"QPCT|25797"	"GMPPB|29925"	"RBAK|57786"
"379"	"379"	"1.39601417325658"	"CYBRD1|79901"	"CRTAC1|55118"	"TTPAL|79183"	"GPRC5C|55890"	"YWHAB|7529"	"NXT2|55916"	"PACS2|23241"	"MLF1|4291"
"380"	"380"	"1.38377927224514"	"SRP68|6730"	"MAMDC2|256691"	"GRB2|2885"	"PLTP|5360"	"EGR1|1958"	"NUP210|23225"	"GPR110|266977"	"PFKM|5213"
"381"	"381"	"1.50385157212066"	"RASL12|51285"	"DICER1|23405"	"CYB5A|1528"	"ARID4B|51742"	"GOLGA5|9950"	"ARHGAP21|57584"	"MOAP1|64112"	"RGS2|5997"
"382"	"382"	"1.39877611229708"	"NOP58|51602"	"EPS8L1|54869"	"DHX40|79665"	"TRAK2|66008"	"LEPREL1|55214"	"NOMO3|408050"	"RSPH1|89765"	"JMJD6|23210"
"383"	"383"	"1.51344066022451"	"SVEP1|79987"	"DDX3X|1654"	"NOL10|79954"	"PDGFRA|5156"	"KDM5C|8242"	"CAMTA2|23125"	"RWDD1|51389"	"EIF3E|3646"
"384"	"384"	"1.519819507318"	"FGFR1OP2|26127"	"C12orf11|55726"	"ABLIM3|22885"	"CPAMD8|27151"	"CCDC64B|146439"	"ATP8B2|57198"	"TMCO3|55002"	"IFT122|55764"
"385"	"385"	"1.30519962594686"	"RAB8B|51762"	"CNTROB|116840"	"ARHGAP24|83478"	"DDB1|1642"	"CMTM4|146223"	"RNF44|22838"	"JUN|3725"	"SPATS2L|26010"
"386"	"386"	"1.58946965922536"	"PNRC2|55629"	"KDM1A|23028"	"UAP1|6675"	"FLNC|2318"	"UNC13B|10497"	"TMEM150A|129303"	"MT1X|4501"	"ARL8A|127829"
"387"	"387"	"1.32965335160645"	"NFYA|4800"	"ECHDC1|55862"	"PPCS|79717"	"PGM5|5239"	"MPPE1|65258"	"EFNB2|1948"	"LDOC1|23641"	"ARFIP1|27236"
"388"	"388"	"1.53002152842783"	"CANX|821"	"PJA2|9867"	"SAMD4A|23034"	"ELK3|2004"	"KIAA0831|22863"	"TMEM167A|153339"	"SPTB|6710"	"CHMP4B|128866"
"389"	"389"	"1.38429715134399"	"STEAP2|261729"	"HNRNPAB|3182"	"CAMK2N1|55450"	"CCND2|894"	"KIAA1609|57707"	"ACOT9|23597"	"CFDP1|10428"	"VIPAR|63894"
"390"	"390"	"1.46997580012526"	"PCDH17|27253"	"C12orf23|90488"	"VANGL1|81839"	"PRDM4|11108"	"LARP1|23367"	"ARHGEF37|389337"	"ANO9|338440"	"C2orf55|343990"
"391"	"391"	"1.3172602455305"	"IWS1|55677"	"AGK|55750"	"SLC9A3R1|9368"	"C1orf103|55791"	"ACBD6|84320"	"NFE2L2|4780"	"CHMP4C|92421"	"SMAD1|4086"
