"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"82"	"82"	"0.988888888888889"	"0.987341772151899"	"1"	"6.73153199188035"	"FERMT1|55612"	"MYL6|4637"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"83"	"83"	"1"	"1"	"1"	"6.297525383726"	"ADAM8|101"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"84"	"84"	"0.988888888888889"	"0.987341772151899"	"1"	"6.39590947106719"	"COL10A1|1300"	"COL12A1|1303"	"IQGAP3|128239"	"MYL9|10398"	"RTKN2|219790"	"SBDS|51119"
"85"	"85"	"1"	"1"	"1"	"6.1870546580604"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"86"	"86"	"0.988888888888889"	"1"	"0.909090909090909"	"6.85867315001006"	"COL17A1|1308"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"WBP2|23558"
"87"	"87"	"1"	"1"	"1"	"6.08770394109222"	"ADAM8|101"	"COL17A1|1308"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"STRBP|55342"
"88"	"88"	"1"	"1"	"1"	"6.0993786944736"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SNX17|9784"	"SPTBN2|6712"
"89"	"89"	"0.988888888888889"	"0.987341772151899"	"1"	"7.11628650907191"	"C13orf1|57213"	"CASKIN2|57513"	"PWP2|5822"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"90"	"90"	"1"	"1"	"1"	"6.86824287006952"	"CD79A|973"	"COL17A1|1308"	"KIF26B|55083"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"91"	"91"	"1"	"1"	"1"	"6.63952369151938"	"C13orf1|57213"	"CASKIN2|57513"	"PWP2|5822"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"92"	"92"	"1"	"1"	"1"	"6.14825277260412"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"93"	"93"	"1"	"1"	"1"	"6.19684871873871"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"94"	"94"	"0.988888888888889"	"0.987341772151899"	"1"	"6.44690214819048"	"EPAS1|2034"	"PAPSS1|9061"	"PYCR1|5831"	"SLC19A1|6573"	"SLC35D1|23169"	"SPTBN2|6712"
"95"	"95"	"1"	"1"	"1"	"6.00484562127711"	"DGKA|1606"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"WFS1|7466"
"96"	"96"	"1"	"1"	"1"	"6.36903299727762"	"ATP13A1|57130"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"	"SLC19A1|6573"
"97"	"97"	"0.988888888888889"	"0.987341772151899"	"1"	"6.57066389257006"	"CDCA8|55143"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"STARD7|56910"
"98"	"98"	"0.988888888888889"	"0.987341772151899"	"1"	"6.48036923421786"	"ASPM|259266"	"COL10A1|1300"	"COL12A1|1303"	"GCA|25801"	"PYCR1|5831"	"SLC19A1|6573"
"99"	"99"	"1"	"1"	"1"	"6.27040624369748"	"CASP3|836"	"DGKA|1606"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"100"	"100"	"0.988888888888889"	"0.987341772151899"	"1"	"6.36633440198326"	"EMP2|2013"	"EPAS1|2034"	"KIAA0430|9665"	"LAMA2|3908"	"PNPLA6|10908"	"PYCR1|5831"
