"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"36"	"36"	"0.988888888888889"	"0.987341772151899"	"1"	"7.27144341923957"	"EMP2|2013"	"FOLR2|2350"	"HS1BP3|64342"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"TMPRSS4|56649"
"37"	"37"	"1"	"1"	"1"	"7.08392393321287"	"ADAM8|101"	"AKR1B10|57016"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"	"SPNS1|83985"
"38"	"38"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"9.03513328081705"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"MMP13|4322"	"PTRF|284119"	"RTKN2|219790"	"SYNJ2|8871"	"TOP2A|7153"
"39"	"39"	"0.988888888888889"	"1"	"0.909090909090909"	"7.86540177472152"	"CARD11|84433"	"CASKIN2|57513"	"LGR4|55366"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"1"	"1"	"1"	"7.20140726360273"	"ADIPOR2|79602"	"ASPM|259266"	"COL17A1|1308"	"FADS3|3995"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"
"41"	"41"	"1"	"1"	"1"	"7.67890304781211"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"MMP1|4312"	"PNPLA6|10908"	"POR|5447"	"PYCR1|5831"	"SYNJ2|8871"
"42"	"42"	"1"	"1"	"1"	"7.00368767289461"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"8.14781409375053"	"ADIPOR2|79602"	"IQGAP3|128239"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SLC39A1|27173"	"TMPRSS4|56649"
"44"	"44"	"1"	"1"	"1"	"7.72716874650088"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"
"45"	"45"	"1"	"1"	"1"	"7.53482924693138"	"CLEC2D|29121"	"DOPEY2|9980"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"VPS24|51652"
"46"	"46"	"0.977777777777778"	"0.974683544303797"	"1"	"8.24427013502265"	"CCL19|6363"	"COL10A1|1300"	"DCN|1634"	"ISLR|3671"	"JAK3|3718"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"47"	"47"	"0.988888888888889"	"1"	"0.909090909090909"	"7.47413706532965"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"STARD7|56910"
"48"	"48"	"1"	"1"	"1"	"7.00025972827126"	"FERMT1|55612"	"FKBP9|11328"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TTYH3|80727"
"49"	"49"	"0.988888888888889"	"0.987341772151899"	"1"	"8.52553870408138"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"	"USP48|84196"
