"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"54"	"54"	"1"	"1"	"1"	"7.40994875167527"	"CASKIN2|57513"	"CAT|847"	"COL17A1|1308"	"MDK|4192"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"55"	"55"	"0.977777777777778"	"0.974683544303797"	"1"	"9.41823783802567"	"DGKA|1606"	"ETV4|2118"	"IL3RA|3563"	"NPL|80896"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"56"	"56"	"0.977777777777778"	"0.974683544303797"	"1"	"7.54734039251874"	"ADAMTSL4|54507"	"GGT5|2687"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TSPAN13|27075"
"57"	"57"	"1"	"1"	"1"	"7.00070203184224"	"EPAS1|2034"	"LGR4|55366"	"LOC84740|84740"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"58"	"58"	"1"	"1"	"1"	"7.64568678852308"	"ANKRD22|118932"	"CORO1C|23603"	"HS6ST2|90161"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"USP48|84196"
"59"	"59"	"1"	"1"	"1"	"7.3103088310062"	"CLEC2D|29121"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"ZNF275|10838"
"60"	"60"	"1"	"1"	"1"	"7.4302156134758"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"NPL|80896"	"RNF149|284996"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"61"	"61"	"0.988888888888889"	"0.987341772151899"	"1"	"7.17691654264744"	"CLEC2D|29121"	"HS6ST2|90161"	"MMP1|4312"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"ZNF618|114991"
"62"	"62"	"1"	"1"	"1"	"8.02977228464137"	"C1orf198|84886"	"COL10A1|1300"	"EPAS1|2034"	"FIBIN|387758"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"63"	"63"	"0.988888888888889"	"0.987341772151899"	"1"	"8.07097501322632"	"LGR4|55366"	"PALM2-AKAP2|445815"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SBDSP1|155370"	"SYNJ2|8871"	"TRAF1|7185"
"64"	"64"	"0.977777777777778"	"0.974683544303797"	"1"	"8.87700647202044"	"EIF4G3|8672"	"EPAS1|2034"	"HS6ST2|90161"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"STX12|23673"
"65"	"65"	"0.988888888888889"	"0.987341772151899"	"1"	"7.46753235195986"	"CYP51A1|1595"	"EPAS1|2034"	"ETV4|2118"	"FAM83A|84985"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"66"	"66"	"1"	"1"	"1"	"6.70326635818398"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"MDK|4192"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"STARD7|56910"
"67"	"67"	"0.977777777777778"	"0.974683544303797"	"1"	"7.90063951876284"	"ADAM8|101"	"C13orf1|57213"	"CASKIN2|57513"	"GLIPR2|152007"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SPTBN2|6712"
"68"	"68"	"1"	"1"	"1"	"7.54236588782199"	"COL17A1|1308"	"GGT5|2687"	"NPL|80896"	"PDLIM2|64236"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"69"	"69"	"0.988888888888889"	"1"	"0.909090909090909"	"7.40515937870573"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"STX11|8676"
"70"	"70"	"0.988888888888889"	"0.987341772151899"	"1"	"8.0758758298244"	"COL17A1|1308"	"KIF20A|10112"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTAN1|6709"	"SPTBN2|6712"	"USP48|84196"
"71"	"71"	"0.977777777777778"	"0.974683544303797"	"1"	"8.005186017311"	"COL12A1|1303"	"CORO1C|23603"	"FERMT1|55612"	"ISLR|3671"	"MMP11|4320"	"RTKN2|219790"	"THBS2|7058"	"TOP2A|7153"
"72"	"72"	"1"	"1"	"1"	"7.50006152364584"	"HYAL2|8692"	"LTF|4057"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"73"	"73"	"0.988888888888889"	"1"	"0.909090909090909"	"8.73757160175868"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"74"	"74"	"1"	"1"	"1"	"7.30026311895851"	"ARL4A|10124"	"C1orf198|84886"	"COL10A1|1300"	"EPAS1|2034"	"LGR4|55366"	"MYL9|10398"	"PYCR1|5831"	"TTC3|7267"
"75"	"75"	"1"	"1"	"1"	"7.93240462248654"	"ADAM8|101"	"CASKIN2|57513"	"LGR4|55366"	"LMO7|4008"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"76"	"76"	"0.988888888888889"	"1"	"0.909090909090909"	"8.08342822287681"	"ALDH18A1|5832"	"CASKIN2|57513"	"EPN3|55040"	"ETV4|2118"	"MMP11|4320"	"MYL9|10398"	"RTKN2|219790"	"SC4MOL|6307"
"77"	"77"	"1"	"1"	"1"	"7.84318083303387"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"78"	"78"	"1"	"1"	"1"	"7.59222828339683"	"CASKIN2|57513"	"EPAS1|2034"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"79"	"79"	"1"	"1"	"1"	"8.15853333279184"	"C1orf198|84886"	"COL10A1|1300"	"HYAL2|8692"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"RNF149|284996"	"ST6GALNAC5|81849"
"80"	"80"	"0.988888888888889"	"0.987341772151899"	"1"	"7.7665580556354"	"CXCL13|10563"	"ETV4|2118"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TMPRSS4|56649"	"USP48|84196"
"81"	"81"	"0.988888888888889"	"0.987341772151899"	"1"	"7.04906172407355"	"COL17A1|1308"	"GGT5|2687"	"HS6ST2|90161"	"PECAM1|5175"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"
"82"	"82"	"0.988888888888889"	"0.987341772151899"	"1"	"7.83330708972927"	"CYP51A1|1595"	"ETV4|2118"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"83"	"83"	"0.988888888888889"	"1"	"0.909090909090909"	"8.62171202679704"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"ETV4|2118"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"84"	"84"	"0.988888888888889"	"0.987341772151899"	"1"	"7.08326551588564"	"CYP51A1|1595"	"HYAL2|8692"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"	"SLC19A1|6573"
"85"	"85"	"1"	"1"	"1"	"6.80862040717876"	"CYP51A1|1595"	"E2F3|1871"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
