"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"34"	"34"	"1"	"1"	"1"	"8.10121470586516"	"DGKA|1606"	"EMP2|2013"	"EPAS1|2034"	"GEM|2669"	"PAPSS1|9061"	"PDIK1L|149420"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"35"	"35"	"1"	"1"	"1"	"7.89885240396952"	"ANKRD22|118932"	"FAM83A|84985"	"FTO|79068"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TTC3|7267"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"8.67580880434559"	"COL10A1|1300"	"COL12A1|1303"	"FKBP11|51303"	"HS6ST2|90161"	"HYAL2|8692"	"LPCAT4|254531"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"37"	"37"	"1"	"1"	"1"	"8.74129183093653"	"DLG5|9231"	"EPAS1|2034"	"ETV4|2118"	"INSIG1|3638"	"LGR4|55366"	"NPL|80896"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"
"38"	"38"	"1"	"1"	"1"	"7.74063015574849"	"DOPEY2|9980"	"FERMT1|55612"	"IDI1|3422"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"	"TOP2A|7153"
"39"	"39"	"1"	"1"	"1"	"7.60984267487159"	"ADAM8|101"	"ADAMTSL4|54507"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TSPAN13|27075"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"10.0189584234781"	"CASKIN2|57513"	"CCL19|6363"	"COL10A1|1300"	"DPT|1805"	"MATN3|4148"	"PWP2|5822"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"41"	"41"	"1"	"1"	"1"	"7.5281695165214"	"CASKIN2|57513"	"DLG5|9231"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SAR1A|56681"	"SGPL1|8879"	"SLC19A1|6573"	"USP48|84196"
"42"	"42"	"1"	"1"	"1"	"7.3572448275815"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"LMO7|4008"	"PAPLN|89932"	"PYCR1|5831"	"SFRS12|140890"	"SLC19A1|6573"	"SPTBN2|6712"
"43"	"43"	"0.988888888888889"	"1"	"0.909090909090909"	"9.12710558640825"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"GJB2|2706"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"44"	"44"	"1"	"1"	"1"	"8.50657352166934"	"CCL19|6363"	"CD101|9398"	"IQGAP3|128239"	"OCIAD2|132299"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"	"USP48|84196"
