"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"
"99"	"99"	"0.966666666666667"	"0.962025316455696"	"1"	"4.20636092291064"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"100"	"100"	"0.988888888888889"	"0.987341772151899"	"1"	"3.93773697456678"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"101"	"101"	"1"	"1"	"1"	"3.85175499186951"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"
"102"	"102"	"0.988888888888889"	"0.987341772151899"	"1"	"4.11657124044463"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"103"	"103"	"1"	"1"	"1"	"3.9220335782668"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"104"	"104"	"0.977777777777778"	"0.974683544303797"	"1"	"4.15418801153569"	"ASPM|259266"	"RTKN2|219790"	"TMPRSS4|56649"
"105"	"105"	"0.977777777777778"	"0.974683544303797"	"1"	"4.88237831104104"	"COL10A1|1300"	"MYL9|10398"	"PYCR1|5831"
"106"	"106"	"0.988888888888889"	"1"	"0.909090909090909"	"3.97872665739244"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"107"	"107"	"0.966666666666667"	"0.962025316455696"	"1"	"4.44373182917906"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"108"	"108"	"1"	"1"	"1"	"3.73451775793821"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"109"	"109"	"0.988888888888889"	"0.987341772151899"	"1"	"4.06658488548304"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"110"	"110"	"0.988888888888889"	"0.987341772151899"	"1"	"4.07793086236071"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"111"	"111"	"0.966666666666667"	"0.962025316455696"	"1"	"4.29887407719601"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"112"	"112"	"0.977777777777778"	"0.974683544303797"	"1"	"4.17073251727964"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"113"	"113"	"0.988888888888889"	"0.987341772151899"	"1"	"4.13849039211402"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"114"	"114"	"0.977777777777778"	"0.974683544303797"	"1"	"4.15135681181761"	"COL10A1|1300"	"MSRB3|253827"	"SRPK1|6732"
"115"	"115"	"1"	"1"	"1"	"4.25403037818531"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"116"	"116"	"0.988888888888889"	"0.987341772151899"	"1"	"3.9437950013694"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"117"	"117"	"1"	"1"	"1"	"4.27689900332638"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"118"	"118"	"0.988888888888889"	"0.987341772151899"	"1"	"3.8030748906505"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"119"	"119"	"0.977777777777778"	"0.974683544303797"	"1"	"3.97817189625493"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"120"	"120"	"0.988888888888889"	"0.987341772151899"	"1"	"3.9504231892274"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"121"	"121"	"0.988888888888889"	"0.987341772151899"	"1"	"4.06812115099545"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"122"	"122"	"0.988888888888889"	"0.987341772151899"	"1"	"4.38944103459534"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"
"123"	"123"	"0.988888888888889"	"0.987341772151899"	"1"	"4.23347516405597"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"124"	"124"	"0.988888888888889"	"0.987341772151899"	"1"	"3.89594432547724"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"125"	"125"	"0.988888888888889"	"0.987341772151899"	"1"	"4.10350116139867"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"126"	"126"	"0.988888888888889"	"0.987341772151899"	"1"	"4.39172588166759"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"127"	"127"	"0.988888888888889"	"0.987341772151899"	"1"	"4.11403894008931"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"128"	"128"	"0.977777777777778"	"0.974683544303797"	"1"	"3.86192657802705"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"129"	"129"	"0.977777777777778"	"0.974683544303797"	"1"	"4.0969086385845"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"130"	"130"	"0.955555555555556"	"0.949367088607595"	"1"	"4.51638570873046"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
