"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"44"	"44"	"0.988888888888889"	"1"	"0.909090909090909"	"8.01447354749838"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"45"	"45"	"0.977777777777778"	"0.974683544303797"	"1"	"7.13348916682035"	"COL17A1|1308"	"FABP4|2167"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTAN1|6709"
"46"	"46"	"1"	"1"	"1"	"6.68255064772594"	"C19orf59|199675"	"COL17A1|1308"	"GPM6A|2823"	"MYO1C|4641"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"47"	"47"	"0.977777777777778"	"0.974683544303797"	"1"	"7.36723981240667"	"ABCC3|8714"	"ADAM8|101"	"GPM6A|2823"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"TSPAN13|27075"
"48"	"48"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"7.49281598514467"	"ADAM8|101"	"PNPLA6|10908"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"49"	"49"	"1"	"1"	"1"	"6.87862982199671"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"GGT5|2687"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"50"	"50"	"0.988888888888889"	"0.987341772151899"	"1"	"7.44668777622195"	"COL17A1|1308"	"CYP51A1|1595"	"GPM6A|2823"	"HYAL2|8692"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"51"	"51"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"7.73770781690289"	"CASKIN2|57513"	"FABP4|2167"	"LAMA2|3908"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SPTBN2|6712"
"52"	"52"	"1"	"1"	"1"	"6.22522719645504"	"CDC20|991"	"DHCR7|1717"	"ENC1|8507"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"TUBB6|84617"
"53"	"53"	"0.977777777777778"	"0.974683544303797"	"1"	"7.31744425160677"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SLC6A4|6532"	"SNX17|9784"	"SPTBN2|6712"	"ZHX3|23051"
"54"	"54"	"1"	"1"	"1"	"7.10099841679308"	"CASKIN2|57513"	"CYP51A1|1595"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"55"	"55"	"1"	"1"	"1"	"6.58883394834047"	"ADAM8|101"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"ZHX3|23051"
"56"	"56"	"1"	"1"	"1"	"7.34694019639935"	"EPAS1|2034"	"GPM6A|2823"	"KCNK3|3777"	"LGR4|55366"	"PYCR1|5831"	"TMPRSS4|56649"	"YIF1A|10897"
"57"	"57"	"1"	"1"	"1"	"6.9172347838742"	"COL17A1|1308"	"DOPEY2|9980"	"MMRN2|79812"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SLC6A4|6532"
"58"	"58"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"7.29036879042654"	"GART|2618"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TIMP1|7076"
"59"	"59"	"1"	"1"	"1"	"6.62244944198934"	"CASKIN2|57513"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"60"	"60"	"1"	"1"	"1"	"7.1858891308196"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"61"	"61"	"1"	"1"	"1"	"7.47059462379655"	"EMP2|2013"	"MYL6|4637"	"NCKAP5|344148"	"PYCR1|5831"	"RDX|5962"	"SLC19A1|6573"	"TMPRSS4|56649"
"62"	"62"	"1"	"1"	"1"	"7.072246508697"	"CASKIN2|57513"	"DLG5|9231"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"63"	"63"	"1"	"1"	"1"	"6.42518332701597"	"ADAM8|101"	"HS6ST2|90161"	"KCTD10|83892"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"64"	"64"	"1"	"1"	"1"	"7.05784106864582"	"ANKS1A|23294"	"COL17A1|1308"	"GPM6A|2823"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"
"65"	"65"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"8.16241868789104"	"COL17A1|1308"	"FAM82A2|55177"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"66"	"66"	"0.988888888888889"	"0.987341772151899"	"1"	"6.78148191554219"	"ETV4|2118"	"LTF|4057"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"67"	"67"	"1"	"1"	"1"	"6.63439948981244"	"FUCA1|2517"	"PYCR1|5831"	"RRP1B|23076"	"SC4MOL|6307"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"68"	"68"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"7.30505745051982"	"EMP2|2013"	"HS6ST2|90161"	"NFYB|4801"	"PNPLA6|10908"	"SLC6A4|6532"	"SPTBN2|6712"	"TIMP1|7076"
"69"	"69"	"0.988888888888889"	"1"	"0.909090909090909"	"8.32148941175374"	"C19orf59|199675"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"70"	"70"	"1"	"1"	"1"	"6.94838319831736"	"COL17A1|1308"	"MACROD2|140733"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"VPS24|51652"
"71"	"71"	"1"	"1"	"1"	"7.00446438133494"	"C19orf59|199675"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"72"	"72"	"1"	"1"	"1"	"7.33007904416842"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"73"	"73"	"1"	"1"	"1"	"6.78917329335818"	"CASKIN2|57513"	"CYP51A1|1595"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"74"	"74"	"0.988888888888889"	"0.987341772151899"	"1"	"6.30351178504713"	"ETV4|2118"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"VPS24|51652"
"75"	"75"	"0.988888888888889"	"0.987341772151899"	"1"	"6.61161008373499"	"NFYB|4801"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"VPS24|51652"
"76"	"76"	"1"	"1"	"1"	"6.30776337906682"	"COL17A1|1308"	"DOPEY2|9980"	"MMRN2|79812"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SLC6A4|6532"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"7.81361059331291"	"ABCC3|8714"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"78"	"78"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"8.38147561699075"	"C1orf198|84886"	"MS4A6A|64231"	"PNPLA6|10908"	"PYCR1|5831"	"SLC6A4|6532"	"SPTBN2|6712"	"STX11|8676"
"79"	"79"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.25343974698942"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"80"	"80"	"1"	"1"	"1"	"6.9925747353038"	"ADAM8|101"	"CASKIN2|57513"	"GPM6A|2823"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"
"81"	"81"	"1"	"1"	"1"	"6.76578367289168"	"COL17A1|1308"	"EMP2|2013"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"82"	"82"	"0.977777777777778"	"0.974683544303797"	"1"	"7.1551051650671"	"EPAS1|2034"	"FABP4|2167"	"GGT5|2687"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"URB1|9875"
"83"	"83"	"1"	"1"	"1"	"7.02054136571322"	"COL10A1|1300"	"CYP51A1|1595"	"EMP2|2013"	"MYL9|10398"	"NFYB|4801"	"PNPLA6|10908"	"PYCR1|5831"
"84"	"84"	"1"	"1"	"1"	"6.52855304122747"	"CASKIN2|57513"	"CYP51A1|1595"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"85"	"85"	"1"	"1"	"1"	"6.91059559719728"	"LGR4|55366"	"PYCR1|5831"	"RDX|5962"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"86"	"86"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"7.21473368498316"	"ADAM8|101"	"LGR4|55366"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"	"TSPAN13|27075"
"87"	"87"	"1"	"1"	"1"	"7.52679116060054"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"MYL6|4637"	"PCYOX1|51449"	"PYCR1|5831"	"SLC19A1|6573"
"88"	"88"	"1"	"1"	"1"	"7.01876165119578"	"CASKIN2|57513"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"89"	"89"	"1"	"1"	"1"	"6.71477392692873"	"COL17A1|1308"	"GART|2618"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"	"SNX17|9784"
"90"	"90"	"0.988888888888889"	"0.987341772151899"	"1"	"7.09896450004723"	"GART|2618"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SLC6A4|6532"	"SNX17|9784"	"TMPRSS4|56649"
"91"	"91"	"1"	"1"	"1"	"6.39624153094905"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"VPS24|51652"
"92"	"92"	"1"	"1"	"1"	"6.89998872173189"	"COL17A1|1308"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"RRP1B|23076"	"SAR1A|56681"	"SLC19A1|6573"
"93"	"93"	"0.977777777777778"	"0.974683544303797"	"1"	"7.90946779487053"	"EPAS1|2034"	"GPD1|2819"	"GPM6A|2823"	"KIAA0430|9665"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"
"94"	"94"	"1"	"1"	"1"	"6.95565414784308"	"DHCR7|1717"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"95"	"95"	"0.988888888888889"	"0.987341772151899"	"1"	"7.32354724769345"	"EPAS1|2034"	"GPM6A|2823"	"IDI1|3422"	"LTF|4057"	"MCM3AP|8888"	"PYCR1|5831"	"SLC19A1|6573"
"96"	"96"	"1"	"1"	"1"	"6.79412239621231"	"EMP2|2013"	"MYL6|4637"	"NCKAP5|344148"	"PYCR1|5831"	"RDX|5962"	"SLC19A1|6573"	"TMPRSS4|56649"
"97"	"97"	"1"	"1"	"1"	"6.48654700872807"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TNFAIP1|7126"	"VPS24|51652"
"98"	"98"	"0.988888888888889"	"0.987341772151899"	"1"	"7.55942482574916"	"ABCC3|8714"	"EMP2|2013"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"99"	"99"	"0.988888888888889"	"0.987341772151899"	"1"	"7.65660915146858"	"C19orf59|199675"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"100"	"100"	"1"	"1"	"1"	"7.28175569411497"	"C7|730"	"CASKIN2|57513"	"FABP4|2167"	"PCYOX1|51449"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
